iestades_kods;nosaukums
10001203;OPTIKA & DENTIKA, Sabiedrība ar ierobežotu atbildību
130075412;Svilāne Inese - ģimenes ārsta prakse 
130075409;Dundure Anita -ģimenes ārsta prakse
130075404;Kalniņa Ināra - ģimenes ārsta prakse
10001297;Mežatuča Iveta - ārsta prakse oftalmoloģijā 
270000025;Prince Elita - internista un kardiologa ārsta prakse 
90077403;Asklepius-ārsta prakse, IK 
10001170;Lukjaņenko Jekaterina - ārsta prakse pediatrijā 
10001298;Fundus, SIA 
270077408;Dreimane Maruta - ģimenes ārsta un pediatra prakse
270077408;Dreimane Maruta - ģimenes ārsta un pediatra prakse 
250000090;Locus Medicus, Sabiedrība ar ierobežotu atbildību
10075415;Ģimenes ārsta Andra Baumaņa prakse, SIA 
10001299;Leniter, Sabiedrība ar ierobežotu atbildību
19277211;L. Mauriņas ārsta prakse, IK 
50000011;Petrovskis Raimunds - ārsta prakse zobārstniecībā 
130000065;Jūrmalas pilsētas pamatskola
406400002;Jautrais APELSĪNS, Sabiedrība ar ierobežotu atbildību 
19375445;Timšāne Gunta - ģimenes ārsta un pediatra prakse 
561800006;Broniča Sandra - ģimenes ārsta prakse 
740200083;Medvaravīksne, Sabiedrība ar ierobežotu atbildību 
90000061;Brīvs un vesels, Sabiedrība ar ierobežotu atbildību
804400001;Piekuss Einārs - ārsta prakse anestezioloģijā, reanimatoloģijā
801000014;Vilitas Melbārdes ārsta prakse, Sabiedrība ar ierobežotu atbildību
170000120;Carevs Igors - ārsta prakse uroloģijā 
780200025;Kantinieku feldšeru-vecmāšu punkts, Rēzeknes novada pašvaldības iestāde Dricānu pagastu apvienība
10001300;Zobu paradīze, SIA 
10000622;Rīgas225. pirmsskolas izglītības iestāde
460200005;V. Podnieces doktorāts, Sabiedrība ar ierobežotu atbildību
648500001;Medeor, SIA
250000026;Pauniņš Aivars - ģimenes ārsta prakse
19377403;Optimus MB, Sabiedrība ar ierobežotu atbildību
250000050;Kārkliņš Uldis - ārsta prakse zobārstniecībā
640600001;AIZPUTES VESELĪBAS UN SOCIĀLĀS APRŪPES CENTRS, Aizputes novada dome
800800021;Osovska Zanda - fizioterapeita prakse
19477803;Poliakova Tatiana - fizioterapeita prakse
270024101;Ventspils poliklīnika, Pašvaldības SIA
885100003;AFP, Sabiedrība ar ierobežotu atbildību
400200026;ILZES KUKUTES ĢIMENES ĀRSTA PRAKSE, SIA
621200004;Strazdiņa Ināra - ārsta prakse zobārstniecībā
270077407;Ilzes Embrikas ārsta prakse, SIA
801000021;Zandare Evija - ģimenes ārsta prakse
10060302;MEDICĪNAS SABIEDRĪBA GAIĻEZERS, Sabiedrība ar ierobežotu atbildību
130075402;NPP, Sabiedrība ar ierobežotu atbildību
888300004;Dzīve ir skaista, IK 
19177453;Tužilova Svetlana - ārsta prakse transfuzioloģijā 
420200010;Maijas Liepiņas ģimenes ārsta prakse, SIA
170055251;LIEPĀJAS CIETUMS, Ieslodzījuma vietu pārvalde
10000415;Inta Rozenbaha, SIA
210000038;Augstmane Vineta - zobu higiēnista prakse 
10054116;Latvijas Republikas Aizsardzības ministrijas Nacionālo bruņoto spēku Nodrošinājuma pavēlniecība
10001308;Lukoviča Irina - internista un akupunktūras ārsta prakse 
10001008;KUZMANE ILGA, IK
620200059;Lienes Rozefeldes radiologa prakse, SIA
400200018;Priedīte Maruta - ģimenes ārsta prakse 
10000045;Streļča Ludmila - ģimenes ārsta prakse 
900200065;Tīse-Goda Inese - ārsta prakse oftalmoloģijā
10001261;Jansone Dace - ārsta prakse psihiatrijā un bērnu psihiatrijā
10000273;Grote Inta - masiera prakse
170000009;Krivenčenko Ilona - ārsta prakse ginekoloģijā, dzemdniecība 
460200046;Kaķenieku ambulance, Sabiedrība ar ierobežotu atbildību 
10000112;Jeļenas Bogdanovas ārsta prakse, SIA
90055251;JELGAVAS CIETUMS, Ieslodzījuma vietu pārvalde
170077428;Ķeružis Žerārs - ārsta prakse vispārējā ultrasonogrāfijas metodē
10001313;3D KOMPJUTERTOMOGRĀFIJA, SIA
10000576;Rubulis Svens - ārsta prakse traumatoloģijā, ortopēdijā 
170065203;ASCELLA IG, SIA
10001311;Dr.M.Gediņa privātprakse, Sabiedrība ar ierobežotu atbildību
760200011;Lioznova Svetlana - ģimenes ārsta prakse
10000620;Rīgas pirmsskolas izglītības iestāde Dzintariņš
10000486;Danilāne Inga - ārsta prakse neiroloģijā 
10001288;Baltic Esthetic Stomatology Training Center, SIA 
647900003;Birzniece Daiga - ģimenes ārsta un arodveselības un arodslimību ārsta prakse
10001314;MEDICĪNAS CENTRS8, SIA
801400007;Agritas Mickevičas ārsta prakse ginekoloģijā un dzemdniecībā, Sabiedrība ar ierobežotu atbildību
10001246;ER klīnika, Sabiedrība ar ierobežotu atbildību 
170075437;MANS DOKTORĀTS, SIA
170075441;Basenko Ludmila - ģimenes ārsta prakse 
801200014;ONNI, SIA 
880200075;Talsu Valsts ģimnāzija
170077434;Treimanis Armands - ārsta prakse ginekoloģijā, dzemdniecībā
400200046;Bensone Laima - masiera prakse
210075404;Simonova Irina - ģimenes ārsta prakse
805200003;Asclepius, SIA 
19477229;Piskunova Svetlana - ārsta prakse zobārstniecībā
19677438;Baltiņa Ingera - ārsta prakse ginekoloģijā, dzemdniecībā 
10001128;Vdovičenko Irina - ārsta prakse homeopātijā
740200024;Ligitas Hohas ārsta prakse, SIA
740200037;Paeglīte Inta - ģimenes ārsta prakse
10000103;Zvagūzis Egīls - ārsta prakse dermatoloģijā, veneroloģijā
801600021;Vucāne Silvija - ārsta prakse ginekoloģijā, dzemdniecībā 
170055301;NACIONĀLO BRUŅOTO SPĒKU NODROŠINĀJUMA PAVĒLNIECĪBAS1.REĢIONĀLAIS NODROŠINĀJUMA CENTRS
660200012;Sarmas Bērziņas zobārstniecība, Sabiedrība ar ierobežotu atbildību 
19364506;INTERNUM, Sabiedrība ar ierobežotu atbildību
500200054;Marmed, Sabiedrība ar ierobežotu atbildību
941600011;GRUNDZĀLES AMBULANCE, Smiltenes novada dome
10001273;VASU, SIA
50000120;Platkova Irena - masiera prakse
10001005;ARETUS, SIA
460200053;Indāne Astra - masiera prakse 
130075403;Leškoviča Antoņina- ģimenes ārsta prakse 
807600022;Stuģe Kristīne - ārsta prakse pediatrijā un neonatoloģijā 
250000147;MARVEJS, SIA
10000083;C & M, Sabiedrība ar ierobežotu atbildību 
10001317;Sergejeva Iveta - ģimenes ārsta prakse 
90000082;Matīsa Ieva - arodveselības un arodslimību ārsta un osteopāta prakse
10000285;Rīgas Daugavas pamatskola
420200068;CIMDIŅAS ZOBĀRSTNIECĪBA, SIA 
10000424;Strapcāne Iveta - masiera prakse 
250000145;VŠ, Sabiedrība ar ierobežotu atbildību
941600028;Riekstiņa Ilze - zobu higiēnista prakse 
840200068;Strazdiņa Sarmīte - masiera prakse
10001324;Intramed Imaging, Sabiedrība ar ierobežotu atbildību (IMI)
10000212;Kaugija Ineta - ārsta prakse zobārstniecībā 
10001323;INDUSTRIĀLĀS TEHNOLOĢIJAS, Sabiedrība ar ierobežotu atbildību
19477228;Cemens Juris - ārsta prakse zobārstniecībā 
641000015;Poprocka Lelda - ģimenes ārsta prakse 
420200043;UNDA EL, Sabiedrība ar ierobežotu atbildību
740200052;Jasinkeviča Inga - ārsta prakse kardioloģijā 
10001296;I.Kerubiņas fizioterapijas centrs un Baby Spa, Sabiedrība ar ierobežotu atbildību
10064044;BĀKA MED, Sabiedrība ar ierobežotu atbildību
10001158;Kazarjana Anželika - ģimenes ārsta prakse
10001329;Gaņģe Gita - ģimenes ārsta prakse 
110000012;Sirmoviča Modrīte - ārsta prakse ķirurģijā un vispārējā ultrasonogrāfijas metodē
110000009;Daneviča Zita - ārsta prakse neiroloģijā 
19275429;Kārkliņa Indra - ģimenes ārsta prakse
10000436;Leidere-Reine Aija - ārsta prakse infektoloģijā un hepatoloģijā
10000436;Leidere- Reine Aija - ārsta prakse infektoloģijā un hepatoloģijā 
19375443;Kalsnava Agrita - ārsta prakse homeopātijā
10001222;ARISKELA, SIA
740200085;Bruņenieks Ints - ārsta prakse ķirurģijā 
10000930;Ščegoļevs Andrejs - ārsta prakse reimatoloģijā 
90077430;AIJAS UDROVSKAS ārsta privātprakse ginekoloģijā un dzemdniecībā, Sabiedrība ar ierobežotu atbildību 
10001339;Šķepaste Zanda - masiera prakse 
327100005;Valsts sociālās aprūpes centrs Latgale
327100005;VALSTS SOCIĀLĀS APRŪPES CENTRA LATGALE veselības punkts
500200044;GALGAUSKAS FELDŠERU-VECMĀŠU PUNKTS, GULBENES NOVADA GALGAUSKAS PAGASTA PĀRVALDE
420200048;ZOBĀRSTNIECĪBAS SPECIĀLISTU KLĪNIKA, Sabiedrība ar ierobežotu atbildību
10065214;Ūnijas doktorāts, Sabiedrība ar ierobežotu atbildību
780200036;KRUĶU FELDŠERU - VECMĀŠU PUNKTS, RĒZEKNES NOVADA PAŠVALDĪBAS SILMALAS PAGASTA PĀRVALDE
780200037;SILMALAS FELDŠERU - VECMĀŠU PUNKTS, RĒZEKNES NOVADA PAŠVALDĪBAS SILMALAS PAGASTA PĀRVALDE
780200038;ŠTIKĀNU FELDŠERU - VECMĀŠU PUNKTS, RĒZEKNES NOVADA PAŠVALDĪBAS SILMALAS PAGASTA PĀRVALDE
10001346;AIGĪDA, SIA
400200008;Lasmane Gundega - ģimenes ārsta un pediatra prakse 
19464516;Meissa, Sabiedrība ar ierobežotu atbildību 
10001086;Savina Nonna - masiera prakse
10001066;Bāliņa Iveta - ārsta prakse ginekoloģijā, dzemdniecība 
400200028;Pauļonoka Regīna - masiera prakse
400200045;Veselības Eliksīrs, IK 
406477801;AIZLĪČI, Sabiedrība ar ierobežotu atbildību
10000171;I. Paturskas ģimenes veselības centrs, Sabiedrība ar ierobežotu atbildību
250000127;Freimane Aija - ārsta prakse neiroloģijā un algoloģijā 
10001348;Bessudnova Ludmila - ģimenes ārsta prakse
19677420;Beķeris Uģis - fizikālās un rehabilitācijas medicīnas ārsta prakse 
740600011;Dr. B.Lazdānes zobārstniecības privātprakse, Sabiedrība ar ierobežotu atbildību 
740200076;Grantiņa Gunta - ārsta prakse pediatrijā
170075409;āp SANUS, SIA
130000067;Sikora Evita - ārsta prakse reimatoloģijā
801200035;Salaspils novada pašvaldības pirmsskolas izglītības iestāde Saime
421200007;BLICAVAS, Cēsu rajona Stalbes pagasta zemnieku saimniecība
130000043;REITTERAPIJA, Sabiedrība ar ierobežotu atbildību medicīniskā firma 
170000123;Čaunāns Kaspars - fizioterapeita prakse
110000069;Zadināne Sandra - internista un kardiologa ārsta prakse 
170077437;Bērziņa Ilze - ārsta prakse neiroloģijā 
19175427;Zandas Oliņas Putenes ģimenes ārsta prakse, Sabiedrība ar ierobežotu atbildību
360200046;NBS KAJNIEKU SKOLA, Nacionālo bruņoto spēku Mācību vadības pavēlniecības štābs
10064011;SURDOVEST, SIA
10064011;SURDOVEST, SIA 
10001337;Mihailova Oksana - fizioterapeita prakse
110000024;Dronka Raitis - ārsta prakse zobārstniecībā
250000063;Zeltiņš Valentīns - ārsta prakse neiroloģijā 
10001357;Leader PRO, Sabiedrība ar ierobežotu atbildību 
801800005;ĢAP Iveta Skurule, Sabiedrība ar ierobežotu atbildību 
10001356;VISION EXPRESS BALTIJA, Sabiedrība ar ierobežotu atbildību 
10000091;Ādas ārsts, SIA
250000069;Aumeisters Egons - ārsta prakse psihiatrijā 
170000085;Sprūde Līga - fizioterapeita prakse 
19277401;Vaļkova Irēna - ārsta prakse oftalmoloģijā
170000026;Strole Ināra - ārsta prakse ginekoloģijā, dzemdniecībā 
210000051;Krūmiņa Aleksandra - fizioterapeita prakse
804900010;Lagzdiņa Dina - ģimenes ārsta prakse 
801600061;Dr. I.Bergas veselības & konsultāciju centrs, SIA
780200021;FEIMAŅU FELDŠERU-VECMĀŠU PUNKTS, RĒZEKNES NOVADA PAŠVALDĪBAS FEIMAŅU PAGASTA PĀRVALDE
804900004;Molodcova Daiga -ģimenes ārsta prakse 
440800017;Martinova Ligita- ģimenes ārsta prakse 
900200063;Riekstiņa Saira - ārsta prakse zobārstniecībā 
800800030;Nimece, Sabiedrība ar ierobežotu atbildību 
50000127;DIADENT, Sabiedrība ar ierobežotu atbildību
10000398;RRAIM, SIA
800800035;BEREZOVSKIS UN PARTNERI, Sabiedrība ar ierobežotu atbildību
270000029; 
Zobārstniecība Ventspilī, SIA;
270000029;Zobārstniecība Ventspilī, SIA
170000015;Kovaļenko Larisa - ārsta prakse ginekoloģijā, dzemdniecībā
10000165;Nodelmane Jolanta - ģimenes ārsta prakse
10000496;DENTĀLĀ STUDIJA, SIA 
10001367;Zobu serviss, Sabiedrība ar ierobežotu atbildību 
10001368;COSMETOLOGY, IK 
427700001;Zariņa Zaiga - ģimenes ārsta un arodveselības un arodslimību ārsta prakse
10000427;MENTAMED, Sabiedrība ar ierobežotu atbildību 
10001370;HR-PA, SIA
250000051;Berga Tatjana - zobu higiēnista prakse
10000953;Dineva, Sabiedrība ar ierobežotu atbildību
10000232;SENSO, Sabiedrība ar ierobežotu atbildību
19477473;Bārs Jānis - ārsta prakse ginekoloģijā un ģenētikā
10001351;Boroviks Dmitrijs - ģimenes ārsta prakse 
10000521;Zīle Inta - ārsta prakse psihoterapijā 
90000096;DENTARIUS, Sabiedrība ar ierobežotu atbildību
620200056;Kuldīgas Centra vidusskola
10001359;NEURO, SIA
660200008;Ābrama Leontīne - masiera prakse
110000076;Boķis Guntars - ģimenes ārsta prakse
50077442;Hublarova Jūlija - ārsta prakse ginekoloģijā, dzemdniecībā
10001270;Barisa Baiba - masiera prakse 
10001386;EVIDENT, Sabiedrība ar ierobežotu atbildību
10001363;INGAS ŽĪGURES ĀRSTA PRAKSE, IK
420200027;Stālmane Anda - masiera prakse 
420200049;DELFĪNIJA BG, SIA
740600017;Ļaksa Tatjana - masiera prakse
10000491;Kokare Larisa - ārsta prakse endokrinoloģijā
806000006;CILVĒKS, Sabiedrība ar ierobežotu atbildību
900200020;Lazdāne Daina - ārsta prakse otolaringoloģijā un lāzerterapijā
10001364;Raimonda Puksta ārsta prakse, Sabiedrība ar ierobežotu atbildību
10001385;STOMAKOSS ST CENTRS, SIA
90000038;Sretenskis Romans - ārsta radiologa diagnosta prakse
900200069;Aijas Zaharovas radiologa diagnosta prakse, Sabiedrība ar ierobežotu atbildību
170000089;Lapšāne Evita - ārsta prakse ginekoloģijā, dzemdniecībā
10000199;Cīrule Ieva - ārsta alergologa prakse
10001354;Sabiedrības ar ierobežotu atbildību LJ Med filiāle
740200041;LIJAS MORAS ĀRSTA PRAKSE, SIA
960200001;Bērzaines feldšeru - vecmāšu punkts, Kocēnu novada dome
801800012;Inčukalna pamatskola
400200027;Rūtas Gravas ārsta prakse psihiatrijā, Sabiedrība ar ierobežotu atbildību
10000343;Adoria, Sabiedrība ar ierobežotu atbildību
10067404;ILZES KATLAPAS MEDICĪNISKĀ PRIVĀTPRAKSE, Sabiedrība ar ierobežotu atbildību 
10065211;Medicīnas centrs Mā-Re, Sabiedrība ar ierobežotu atbildību
900200030;Bogužs Juris - ārsta prakse ķirurģijā 
10001373;Šilvāne Alīna - fizioterapeita prakse
10001390;Ivetas Golubovskas ārsta privātprakse, Sabiedrība ar ierobežotu atbildību 
210075420;Orlova Nelija - ģimenes ārsta prakse 
10001391;Šperliņš Aldis - ārsta prakse traumatoloģijā, ortopēdijā 
10075407;Bode Ilze - ģimenes ārsta, arodveselības un arodslimību ārsta un masiera prakse
10077458;I.Paegles ārsta prakse dzemdniecībā un ginekoloģijā, Sabiedrība ar ierobežotu atbildību 
10001305;Ivetas Feldmanes ģimenes ārsta prakse, IK
10001394;Kalinin Artem - ārsta prakse kardioloģijā un ehokardiogrāfijas metodē 
90024101;Jelgavas poliklīnika, SIA 
170000027;Plužņikova Inga - ārsta prakse ginekoloģijā, dzemdniecībā
10001383;Curatio, Sabiedrība ar ierobežotu atbildību 
110000035;MārLind, IK 
809600007;Stūre Ingrīda - ārsta prakse homeopātijā un pneimonoloģijā 
130000069;ZIDA INNA-MASIERA PRAKSE, Sabiedrība ar ierobežotu atbildību
19464002;URO, Sabiedrība ar ierobežotu atbildību
170000028;Kalniņa Anda - fizioterapeita prakse 
10001399;GALLUS PRO, Sabiedrība ar ierobežotu atbildību
10001388;Tropa Ieva - fizioterapeita prakse 
10001159;PHLEBOART, Sabiedrība ar ierobežotu atbildību
808475401;Thymus, SIA 
10000088;JURETTA, Sabiedrība ar ierobežotu atbildību 
90077433;Bičevska Iveta - ārsta prakse ginekoloģijā, dzemdniecība 
170000127;Frīdenberga Daiga - masiera prakse
170000011;Kudrinskis Igors - masiera prakse
10001402;Smirnova Ingrīda - masiera prakse 
10000876;Urbanoviča Larisa - ģimenes ārsta prakse 
360800002;Celenbergs Jurijs - ģimenes ārsta prakse 
19164506;Veselības korporācija, Sabiedrība ar ierobežotu atbildību
10001404;Zobu veselība, SIA 
10001384;Kārnija Evi - ārsta prakse psihiatrijā, narkoloģijā un psihoterapijā 
10000493;Veselības centri un doktorāti, SIA 
10001403;Dr. J.Sominskas zobārstniecības prakse, Sabiedrība ar ierobežotu atbildību
19175422;Drēmane Liene - ģimenes ārsta prakse
806900004;Krimuldas doktorāts, Sabiedrība ar ierobežotu atbildību 
10000510;Vanaga Digne - fizioterapeita prakse 
170075415;V.Ceikas ārsta prakse, SIA
170000128;Silenieks Mārtiņš - ārsta prakse uroloģijā
10001389;VITA GRATA, SIA
170075412;Juzupa Ludmila - ģimenes ārsta prakse
10001082;Sedlenieks Māris - ārsta prakse mutes, sejas un žokļu ķirurģijā
620200009;Pīpīte Mārīte - fizioterapeita prakse
250000014;Valmieras sākumskola
170075413;Francisti Vera - ģimenes ārsta prakse
10001260;Strautiņa-Strēle Sintija - fizikālās un rehabilitācijas medicīnas ārsta un kosmētiķa prakse
360800004;Virešu feldšeru punkts, APES NOVADA DOME
50064006;SALUSS, Sabiedrība ar ierobežotu atbildību 
620200012;Kuldīgas primārās veselības aprūpes centrs, SIA 
19166201;LATVIJAS DERMATOLOĢIJAS INSTITŪTS, SIA komercfirma 
10000347;Bubenko Ludmila - ģimenes ārsta un arodslimību ārsta prakse 
660200011;Karpoviča Evija - masiera prakse
170077449;Naļivaiko Māris - ārsta prakse ķirurģijā
170000098;Veļickis Jevgeņijs - ārsta prakse ķirurģijā 
170077450;Litavniece Dzintra - ārsta urologa un onkologa ķīmijterapeita prakse
10000860;Rīgas Klasiskā ģimnāzija
10001400;K.Zivtiņas ārsta prakse, Sabiedrība ar ierobežotu atbildību 
10001408;Čiekurkalna zobārstniecība, SIA
406435102;Iecavas veselības centrs, Pašvaldības aģentūra
90000097;Ambulte Inguna - ārsta radiologa diagnosta prakse 
10000560;Janzen Konstantin - ārsta prakse zobārstniecībā
19377434;Dr.Kremņeva privātklīnika, Sabiedrība ar ierobežotu atbildību
50064009;PRIVĀTKLĪNIKA ĢIMENES VESELĪBA, SIA 
961600006;J.TRALMAKA UN A.TRALMAKAS ĀRSTA PRAKSE, Sabiedrība ar ierobežotu atbildību
360200026;Stabingis Jānis - ģimenes ārsta prakse
500200056;Gulbenes novada vidusskola
19367801;KARLO18, IK
10069102;Latvijas Universitātes medicīniskās pēcdiploma izglītības institūts, Sabiedrība ar ierobežotu atbildību 
270000033;SANTANDE, Sabiedrība ar ierobežotu atbildību
700200021;URB, SIA
1000008;Innas Tkačenko privātprakse, Sabiedrība ar ierobežotu atbildību
10000514;Krustiņa Daiga - ģimenes ārsta prakse
19364009;BIOREGULĀCIJAS KLĪNIKA, Sabiedrība ar ierobežotu atbildību
10001405;STOMADENT, Sabiedrība ar ierobežotu atbildību 
10001410;Zolitūdes doktorāts, Sabiedrība ar ierobežotu atbildību
10001416;Kustību telpa, Sabiedrība ar ierobežotu atbildību 
90075406;Vivejas Epiņas ģimenes ārsta prakse, SIA
10000175;Griņins Eduards - fizikālās un rehabilitācijas medicīnas ārsta prakse 
170000039;Stoma Margarita - internista, kardiologa un homeopāta ārsta prakse 
360200009;Liepiņa Māra - acu ārsta prakse 
10001278;Lizon Nina - masiera prakse 
10015701;VALSTS ASINSDONORU CENTRS
19577405;Ellas Šatalovas ģimenes ārsta un pediatra prakse, SIA
387500003;Skujetnieku feldšeru - veselības punkts
19277209;Garšteins Artūrs - ārsta prakse zobārstniecībā
10001425;Blūzma Baiba - masiera prakse
50022601;Daugavpils bērnu veselības centrs, Sabiedrība ar ierobežotu atbildību
19377405;Lāce Ilze - ārsta prakse psihoterapijā
800800031;Liepiņš Normunds - masiera prakse
10001838;Zemessardzes štābs
360200034;Akmentiņa Sarmīte - masiera prakse 
170000043;Krieviņa Sigita - ārsta prakse ginekoloģijā, dzemdniecībā 
31000004;Nadeta, SIA 
760200031;Asklēpijs Z, SIA
10001372;'5 elementu akadēmija mācību un atveseļošanās tradicionālās un netradicionālās medicīnas centrs, SIA
10000602;X-Dental, Sabiedrība ar ierobežotu atbildību
10064501;MEDASKO, Sabiedrība ar ierobežotu atbildību
10001263;Dr. Evald, SIA
381600013;UPĪTES FELDŠERU - VECMĀŠU PUNKTS, Viļakas novada dome
19677201;Ļahoviča Irina - ārsta prakse zobārstniecībā
10000536;Irmejs Arvīds - ārsta prakse ķirurģijā
170000130;Rudovska Kristīne - masiera prakse
840200070;Poļakova Gaļina - masiera prakse
19375418;Žuka Jeļena -ģimenes ārsta prakse
10001432;Hailovas intensitāte plus, Sabiedrība ar ierobežotu atbildību
387500004;Rugāju novada zobārstniecības kabinets, Rugāju novada dome 
400200036;Biķerniece Daina - ārsta prakse zobārstniecībā
400200038;Zablocka Nalda - masiera prakse
10001436;MediHelp, Sabiedrība ar ierobežotu atbildību 
90000039;Mackēvičs Vitolds - ārsta prakse endokrinoloģijā
10000043;Valsts sociālās aprūpes centrs Rīga
10000312;Gutovskis Andrejs - ģimenes ārsta un akupunktūras ārsta prakse 
10000433;Klīnika DiaMed, SIA
900200060;Māras Belruses privātprakse zobārstniecībā, IK 
19166202;LATVIJAS PSIHOSOMATIKAS, PSIHOTERAPIJAS UN PSIHODINAMISKĀS PSIHIATRIJAS CENTRS, Sabiedrība ar ierobežotu atbildību
19277210;Alberts Jānis - ārsta prakse zobārstniecībā
10000366;Sinka Jolanta - fizikālās un rehabilitācijas medicīnas ārsta prakse
400200032;Fārneste Anita - ārsta prakse zobārstniecībā
10000522;Čerņika Kristīne - ārsta prakse zobārstniecībā 
250000039;Šķiltere Grieta - ārsta prakse ginekoloģijā, dzemdniecībā
801800013;Līce Ineta - fizioterapeita prakse
804900005;Ārstu privātprakse SVĪRE PLUS, Sabiedrība ar ierobežotu atbildību
10001411;ĀRSTNIECĪBAS REHABILITĀCIJAS CENTRS VALEO, Sabiedrība ar ierobežotu atbildību
424700007;Vasiļevskis Uldis - ģimenes ārsta prakse
10001440;STEA, SIA
10001110;HEMAT, Sabiedrība ar ierobežotu atbildību
424700010;Amatas novada Nītaures dienas aprūpes centrs, Amatas novada pašvaldība
10001441;EOLADERM, SIA
90000053;BETO, SIA
270000080;Cielava Evija - masiera prakse
880200055;Vegmane Ieva - ārsta prakse zobārstniecībā
320200037;K.Vizules zobārstniecības prakse, IK
660200045;Skultes doktorāts, SIA
10001443;Purviņa Santa - ārsta prakse psihiatrijā 
10000838;Dentium, Sabiedrība ar ierobežotu atbildību
760200019;Kozuļ-Kaža Anna - ārsta prakse zobārstniecībā 
10064531;I.D., Sabiedrība ar ierobežotu atbildību
170000105;Strazda Dace - ārsta prakse neiroloģijā un algoloģijā
760200016;Poplavska Lilija - ārsta prakse zobārstniecībā
801200001;Salaspils veselības centrs, Sabiedrība ar ierobežotu atbildību
250000131;P. LAUCIS-PLASTISKĀ ĶIRURĢIJA, SIA 
10000004;Angiosana, Sabiedrība ar ierobežotu atbildību 
741400012;Ruzhylo Roman - ārsta prakse oftalmoloģijā 
760200018;Rasnace Vija - ārsta prakse zobārstniecībā
10001427;Medical Solutions, Sabiedrība ar ierobežotu atbildību
10001423;Ļišņevska Olga - arodveselības un arodslimību ārsta prakse 
10000034;Rage Krista - ārsta prakse psihiatrijā un bērnu psihiatrijā
130000071;Kognitīvo pētījumu institūts, Sabiedrība ar ierobežotu atbildību
760200015;Lipska Natālija - ārsta prakse zobārstniecībā
50024301;Daugavpils zobārstniecības poliklīnika, Sabiedrība ar ierobežotu atbildību
10000233;Homeopātijas un akupunktūras centrs, Sabiedrība ar ierobežotu atbildību
406477201;Brants Egils - ārsta prakse zobārstniecībā
10001439;Saules Zobārstniecība, SIA 
10000944;Reinšmite Biruta - ārsta prakse kardioloģijā, elektrokardiogrāfijas un ehokardiogrāfijas metodēs 
10001452;Dr.Lapiņa privātprakse, Sabiedrība ar ierobežotu atbildību 
10001430;Indenta, SIA
10001437;Consilium Medicum, Sabiedrība ar ierobežotu atbildību
424700003;LĪVU DIENAS APRŪPES CENTRS, Amatas novada dome 
19375428;Isakoviča Žaneta - ģimenes ārsta prakse 
19375404;ARMONIA HEALTH, SIA
19375405;Kudule Laila - ģimenes ārsta prakse
10000346;Kaļinkina Iļmira - ģimenes ārsta prakse 
10001442;Centra zobārstniecības prakse, Sabiedrība ar ierobežotu atbildību
90000098;Daces Markevicas ārsta prakse, Sabiedrība ar ierobežotu atbildību
10001456;Neiro-Derma, SIA
19377409;Averina Svetlana - ģimenes ārsta un internista prakse
10000559;DENTARS, SIA
19375410;Meirēna Olga - ģimenes ārsta prakse 
50077205;Pinzele Tamāra - ārsta prakse zobārstniecībā 
840200048;META, Sabiedrība ar ierobežotu atbildību Saldus
10064526;Sabiedrība ar ierobežotu atbildību Saldus META Rīgas filiāle 
10000257;T. Laganovskas zobārstniecības privātprakse SIA
601000014;ASŪNES FELDŠERU-VECMĀŠU PUNKTS, Dagdas novada pašvaldības Asūnes pagasta pārvalde 
110000028;Otomere Vija - ārsta prakse zobārstniecībā
10001435;I.Dūces ārsta privātprakse, Sabiedrība ar ierobežotu atbildību 
19375431;Gizatullina Nataļja - ģimenes ārsta prakse 
10001457;Jūlijas Katkevičas zobārstniecība, SIA
270000079;Goba Eva - ārsta prakse pediatrijā un fizikālā un rehabilitācijas medicīnā
601000016;KONSTANTINOVAS PAGASTA FELDŠERU-VECMĀŠU PUNKTS, Dagdas novada pašvaldības Konstantinovas pagasta pārvalde
10001459;Lapsele Kristīne - fizioterapeita prakse
50000041;Kurator, SIA
360200003;Anitas Muižnieces ārsta prakse, SIA
19575429;SN ĀRSTE, SIA 
19575409;Dīriņa Vija - ģimenes ārsta prakse
90000052;Sizova-Urbāne Marina - ārsta prakse psihiatrijā
19575405;D. Ļūļes ārsta prakse, Sabiedrība ar ierobežotu atbildību
170000004;Ķēniņš Ilgvars - masiera prakse
10001135;Parfjonova Olga - ģimenes ārsta prakse 
250000129;VIDZEMES TRAUMATOLOĢIJAS UN ORTOPĒDIJAS CENTRS, Sabiedrība ar ierobežotu atbildību
801600009;I.B., Sabiedrība ar ierobežotu atbildību
700200023;ŠVARCES PRAKSE, SIA
10000145;Lūse Meldra - masiera prakse
10001447;ĶĪPSALAS PELDBASEINS, Sabiedrība ar ierobežotu atbildību 
900200079;SĒMES FELDŠERU VECMĀŠU PUNKTS, Sēmes un Zentenes pagastu pārvalde
270000075;Indriksone Dana - masiera prakse 
250000151;Rozenbergs Didzis - fizioterapeita prakse 
320200008;Grīga Lilita -ģimenes ārsta prakse 
801000022;Pašvaldības aģentūra Olaines sociālais dienests, OLAINES NOVADA PAŠVALDĪBA
740200031;Daces Roskas ģimenes ārsta prakse, SIA
900200052;DACES RUNDĀNES ĢĀP, Individuālais komersants 
19275402;Grīnhofa Ingūna - ģimenes ārsta, arodveselības un arodslimību ārsta, homeopāta un masiera prakse
